Time;Latitude;Longitude;Course;kts;mph;metres;Rate;Reporting Facility
Sat 09:32:29 PM;45.7895;26.2976;↑ 341°;457;526;10973;Level;FlightAware ADS-B (TSR / LRTR)
Sat 09:32:59 PM;45.8481;26.2687;↑ 341°;456;525;10973;Level;FlightAware ADS-B (TSR / LRTR)
Sat 09:33:30 PM;45.9117;26.2373;↑ 341°;455;524;10973;Level;FlightAware ADS-B (BBU / LRBS)
Sat 09:34:00 PM;45.9695;26.2090;↑ 341°;453;521;10973;Level;FlightAware ADS-B (BBU / LRBS)
Sat 09:34:30 PM;46.0287;26.1802;↑ 341°;452;520;10973;Level;FlightAware ADS-B (OTP / LROP)
Sat 09:35:00 PM;46.0881;26.1513;↑ 341°;450;518;10973;Level;FlightAware ADS-B (OTP / LROP)
Sat 09:35:30 PM;46.1471;26.1221;↑ 341°;448;516;10973;Level;FlightAware ADS-B (TSR / LRTR)
Sat 09:36:00 PM;46.2052;26.0932;↑ 341°;447;514;10973;Level;FlightAware ADS-B (TSR / LRTR)
Sat 09:36:30 PM;46.2652;26.0633;↑ 341°;446;513;10973;Level;FlightAware ADS-B (OTP / LROP)
Sat 09:37:00 PM;46.3219;26.0353;↑ 341°;448;516;10973;Level;FlightAware ADS-B (OTP / LROP)
Sat 09:37:30 PM;46.3826;26.0054;↑ 341°;450;518;10973;Level;FlightAware ADS-B (TSR / LRTR)
Sat 09:38:01 PM;46.4415;25.9760;↑ 341°;451;519;10973;Level;FlightAware ADS-B (BBU / LRBS)
Sat 09:38:31 PM;46.5013;25.9459;↑ 341°;450;518;10973;Level;FlightAware ADS-B (BBU / LRBS)
Sat 09:39:02 PM;46.5631;25.9150;↑ 341°;448;516;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:39:32 PM;46.6205;25.8863;↑ 341°;448;516;10973;Level;FlightAware ADS-B (IAS / LRIA)
Sat 09:40:02 PM;46.6813;25.8551;↑ 341°;447;514;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:40:32 PM;46.7386;25.8262;↑ 341°;448;516;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:41:02 PM;46.7984;25.7957;↑ 341°;451;519;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:41:32 PM;46.8550;25.7669;↑ 341°;451;519;10973;Level;FlightAware ADS-B (BBU / LRBS)
Sat 09:42:03 PM;46.9177;25.7352;↑ 341°;452;520;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:42:33 PM;46.9774;25.7050;↑ 341°;452;520;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:43:03 PM;47.0348;25.6759;↑ 341°;452;520;10973;Level;FlightAware ADS-B (SBZ / LRSB)
Sat 09:43:33 PM;47.0972;25.6439;↑ 341°;453;521;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:44:03 PM;47.1566;25.6129;↑ 340°;454;522;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:44:33 PM;47.2125;25.5842;↑ 341°;456;525;10973;Level;FlightAware ADS-B (OTP / LROP)
Sat 09:45:03 PM;47.2762;25.5517;↑ 341°;458;527;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:45:33 PM;47.3325;25.5227;↑ 341°;458;527;10973;Level;FlightAware ADS-B (OTP / LROP)
Sat 09:46:04 PM;47.3939;25.4907;↑ 341°;460;529;10973;Level;FlightAware ADS-B (OTP / LROP)
Sat 09:46:34 PM;47.4574;25.4577;↑ 341°;462;532;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:47:04 PM;47.5179;25.4262;↑ 341°;463;533;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:47:34 PM;47.5792;25.3941;↑ 341°;466;536;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:48:04 PM;47.6401;25.3623;↑ 341°;467;537;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:48:34 PM;47.7009;25.3304;↑ 341°;468;539;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:49:08 PM;47.7667;25.2931;↖ 338°;468;539;10973;Level;FlightAware ADS-B (LRBG)
Sat 09:49:38 PM;47.8264;25.2574;↖ 338°;465;535;10973;Level;FlightAware ADS-B (UKLA)
Sat 09:50:11 PM;47.8910;25.2191;↖ 338°;465;535;10973;Level;FlightAware ADS-B (QXQ / EPST)
Sat 09:50:44 PM;47.9585;25.1793;↖ 338°;465;535;10973;Level;FlightAware ADS-B (SBZ / LRSB)
Sat 09:51:14 PM;48.0179;25.1442;↖ 338°;465;535;10973;Level;FlightAware ADS-B (SBZ / LRSB)
Sat 09:51:44 PM;48.0781;25.1084;↖ 338°;464;534;10973;Level;FlightAware ADS-B (SBZ / LRSB)
Sat 09:52:14 PM;48.1381;25.0730;↖ 338°;465;535;10973;Level;FlightAware ADS-B (BAY / LRBM)
Sat 09:52:46 PM;48.2042;25.0337;↖ 338°;464;534;10973;Level;FlightAware ADS-B (KSC / LZKZ)
Sat 09:53:17 PM;48.2621;24.9994;↖ 338°;464;534;10973;Level;FlightAware ADS-B (KSC / LZKZ)
Sat 09:53:49 PM;48.3255;24.9616;↖ 338°;463;533;10973;Level;FlightAware ADS-B (RZE / EPRZ)
Sat 09:54:19 PM;48.3850;24.9264;↖ 338°;462;532;10973;Level;FlightAware ADS-B (RZE / EPRZ)
Sat 09:54:50 PM;48.4485;24.8888;↑ 339°;462;532;10973;Level;FlightAware ADS-B (UDJ / UKLU)
Sat 09:55:20 PM;48.5079;24.8530;↖ 338°;462;532;10973;Level;FlightAware ADS-B (UDJ / UKLU)
Sat 09:55:50 PM;48.5658;24.8178;↖ 338°;462;532;10973;Level;FlightAware ADS-B (UDJ / UKLU)
Sat 09:56:20 PM;48.6272;24.7806;↖ 338°;461;531;10973;Level;FlightAware ADS-B (UDJ / UKLU)
Sat 09:56:50 PM;48.6866;24.7447;↖ 338°;462;532;10973;Level;FlightAware ADS-B (UDJ / UKLU)
Sat 09:57:21 PM;48.7460;24.7085;↖ 338°;461;531;10973;Level;FlightAware ADS-B (UDJ / UKLU)
Sat 09:57:54 PM;48.8133;24.6676;↖ 338°;460;529;10973;Level;FlightAware ADS-B (IFO / UKLI)
Sat 09:58:24 PM;48.8705;24.6327;↖ 338°;460;529;10973;Level;FlightAware ADS-B (RWN / UKLR)
Sat 09:58:54 PM;48.9300;24.5964;↖ 338°;461;531;10973;Level;FlightAware ADS-B (UKLF)
Sat 09:59:25 PM;48.9912;24.5586;↖ 338°;460;529;10973;Level;FlightAware ADS-B (IFO / UKLI)
Sat 09:59:55 PM;49.0501;24.5221;↖ 338°;460;529;10973;Level;FlightAware ADS-B (UKLF)
Sat 10:00:25 PM;49.1107;24.4848;↖ 338°;459;528;10973;Level;FlightAware ADS-B (IFO / UKLI)
Sat 10:00:55 PM;49.1683;24.4492;↖ 338°;459;528;10973;Level;FlightAware ADS-B (IFO / UKLI)
Sat 10:01:25 PM;49.2269;24.4128;↖ 338°;458;527;10973;Level;FlightAware ADS-B (RZE / EPRZ)
Sat 10:01:55 PM;49.2852;24.3765;↖ 338°;457;526;10973;Level;FlightAware ADS-B (UKLF)
Sat 10:02:25 PM;49.3448;24.3393;↖ 338°;457;526;10973;Level;FlightAware ADS-B (UKLF)
Sat 10:02:56 PM;49.4041;24.3023;↖ 338°;456;525;10973;Level;FlightAware ADS-B (IFO / UKLI)
Sat 10:03:26 PM;49.4634;24.2650;↖ 338°;455;524;10973;Level;FlightAware ADS-B (IFO / UKLI)
Sat 10:03:56 PM;49.5224;24.2281;↖ 338°;455;524;10973;Level;FlightAware ADS-B (IFO / UKLI)
